rank,team,elo_rating,rating_date,source,source_original
143,New Caledonia,1286,2026-06-12,https://www.international-football.net/elo-ratings-table?day=12&month=06&year=2026,https://www.eloratings.net/
145,Burundi,1285,2026-06-12,https://www.international-football.net/elo-ratings-table?day=12&month=06&year=2026,https://www.eloratings.net/
146,Dominican Republic,1283,2026-06-12,https://www.international-football.net/elo-ratings-table?day=12&month=06&year=2026,https://www.eloratings.net/
147,Botswana,1267,2026-06-12,https://www.international-football.net/elo-ratings-table?day=12&month=06&year=2026,https://www.eloratings.net/
148,Moldova,1265,2026-06-12,https://www.international-football.net/elo-ratings-table?day=12&month=06&year=2026,https://www.eloratings.net/
149,Malta,1255,2026-06-12,https://www.international-football.net/elo-ratings-table?day=12&month=06&year=2026,https://www.eloratings.net/
150,Guinea-Bissau,1248,2026-06-12,https://www.international-football.net/elo-ratings-table?day=12&month=06&year=2026,https://www.eloratings.net/
151,Central African Republic,1241,2026-06-12,https://www.international-football.net/elo-ratings-table?day=12&month=06&year=2026,https://www.eloratings.net/
152,Cuba,1239,2026-06-12,https://www.international-football.net/elo-ratings-table?day=12&month=06&year=2026,https://www.eloratings.net/
153,Malawi,1235,2026-06-12,https://www.international-football.net/elo-ratings-table?day=12&month=06&year=2026,https://www.eloratings.net/
154,French Guiana,1221,2026-06-12,https://www.international-football.net/elo-ratings-table?day=12&month=06&year=2026,https://www.eloratings.net/
155,Mayotte,1217,2026-06-12,https://www.international-football.net/elo-ratings-table?day=12&month=06&year=2026,https://www.eloratings.net/
156,Lesotho,1209,2026-06-12,https://www.international-football.net/elo-ratings-table?day=12&month=06&year=2026,https://www.eloratings.net/
156,Turkmenistan,1209,2026-06-12,https://www.international-football.net/elo-ratings-table?day=12&month=06&year=2026,https://www.eloratings.net/
158,Congo,1206,2026-06-12,https://www.international-football.net/elo-ratings-table?day=12&month=06&year=2026,https://www.eloratings.net/
159,Eritrea,1201,2026-06-12,https://www.international-football.net/elo-ratings-table?day=12&month=06&year=2026,https://www.eloratings.net/
160,Yemen,1195,2026-06-12,https://www.international-football.net/elo-ratings-table?day=12&month=06&year=2026,https://www.eloratings.net/
161,Tahiti,1179,2026-06-12,https://www.international-football.net/elo-ratings-table?day=12&month=06&year=2026,https://www.eloratings.net/
162,Philippines,1169,2026-06-12,https://www.international-football.net/elo-ratings-table?day=12&month=06&year=2026,https://www.eloratings.net/
163,Eswatini,1149,2026-06-12,https://www.international-football.net/elo-ratings-table?day=12&month=06&year=2026,https://www.eloratings.net/
164,Saint Vincent and the Grenadines,1141,2026-06-12,https://www.international-football.net/elo-ratings-table?day=12&month=06&year=2026,https://www.eloratings.net/
165,Papua New Guinea,1136,2026-06-12,https://www.international-football.net/elo-ratings-table?day=12&month=06&year=2026,https://www.eloratings.net/
166,Puerto Rico,1135,2026-06-12,https://www.international-football.net/elo-ratings-table?day=12&month=06&year=2026,https://www.eloratings.net/
167,Singapore,1134,2026-06-12,https://www.international-football.net/elo-ratings-table?day=12&month=06&year=2026,https://www.eloratings.net/
168,Hong Kong,1122,2026-06-12,https://www.international-football.net/elo-ratings-table?day=12&month=06&year=2026,https://www.eloratings.net/
168,India,1122,2026-06-12,https://www.international-football.net/elo-ratings-table?day=12&month=06&year=2026,https://www.eloratings.net/
170,Vanuatu,1121,2026-06-12,https://www.international-football.net/elo-ratings-table?day=12&month=06&year=2026,https://www.eloratings.net/
171,Bermuda,1117,2026-06-12,https://www.international-football.net/elo-ratings-table?day=12&month=06&year=2026,https://www.eloratings.net/
172,South Sudan,1109,2026-06-12,https://www.international-football.net/elo-ratings-table?day=12&month=06&year=2026,https://www.eloratings.net/
173,Fiji,1101,2026-06-12,https://www.international-football.net/elo-ratings-table?day=12&month=06&year=2026,https://www.eloratings.net/
174,Grenada,1098,2026-06-12,https://www.international-football.net/elo-ratings-table?day=12&month=06&year=2026,https://www.eloratings.net/
175,Andorra,1081,2026-06-12,https://www.international-football.net/elo-ratings-table?day=12&month=06&year=2026,https://www.eloratings.net/
176,Belize,1073,2026-06-12,https://www.international-football.net/elo-ratings-table?day=12&month=06&year=2026,https://www.eloratings.net/
176,Chad,1073,2026-06-12,https://www.international-football.net/elo-ratings-table?day=12&month=06&year=2026,https://www.eloratings.net/
176,Mauritius,1073,2026-06-12,https://www.international-football.net/elo-ratings-table?day=12&month=06&year=2026,https://www.eloratings.net/
179,Solomon Islands,1054,2026-06-12,https://www.international-football.net/elo-ratings-table?day=12&month=06&year=2026,https://www.eloratings.net/
180,Saint Martin,1042,2026-06-12,https://www.international-football.net/elo-ratings-table?day=12&month=06&year=2026,https://www.eloratings.net/
181,São Tomé e Príncipe,1035,2026-06-12,https://www.international-football.net/elo-ratings-table?day=12&month=06&year=2026,https://www.eloratings.net/
182,Saint Kitts and Nevis,1029,2026-06-12,https://www.international-football.net/elo-ratings-table?day=12&month=06&year=2026,https://www.eloratings.net/
183,Afghanistan,1023,2026-06-12,https://www.international-football.net/elo-ratings-table?day=12&month=06&year=2026,https://www.eloratings.net/
184,Gibraltar,1011,2026-06-12,https://www.international-football.net/elo-ratings-table?day=12&month=06&year=2026,https://www.eloratings.net/
185,Saint Lucia,1003,2026-06-12,https://www.international-football.net/elo-ratings-table?day=12&month=06&year=2026,https://www.eloratings.net/
186,Somaliland,1002,2026-06-12,https://www.international-football.net/elo-ratings-table?day=12&month=06&year=2026,https://www.eloratings.net/
187,Western Sahara,996,2026-06-12,https://www.international-football.net/elo-ratings-table?day=12&month=06&year=2026,https://www.eloratings.net/
188,Myanmar,993,2026-06-12,https://www.international-football.net/elo-ratings-table?day=12&month=06&year=2026,https://www.eloratings.net/
189,Somalia,979,2026-06-12,https://www.international-football.net/elo-ratings-table?day=12&month=06&year=2026,https://www.eloratings.net/
190,Aruba,978,2026-06-12,https://www.international-football.net/elo-ratings-table?day=12&month=06&year=2026,https://www.eloratings.net/
191,Sint Maarten,975,2026-06-12,https://www.international-football.net/elo-ratings-table?day=12&month=06&year=2026,https://www.eloratings.net/
192,Montserrat,972,2026-06-12,https://www.international-football.net/elo-ratings-table?day=12&month=06&year=2026,https://www.eloratings.net/
193,Greenland,946,2026-06-12,https://www.international-football.net/elo-ratings-table?day=12&month=06&year=2026,https://www.eloratings.net/
194,Bangladesh,942,2026-06-12,https://www.international-football.net/elo-ratings-table?day=12&month=06&year=2026,https://www.eloratings.net/
195,Djibouti,940,2026-06-12,https://www.international-football.net/elo-ratings-table?day=12&month=06&year=2026,https://www.eloratings.net/
196,Dominica,934,2026-06-12,https://www.international-football.net/elo-ratings-table?day=12&month=06&year=2026,https://www.eloratings.net/
197,Monaco,903,2026-06-12,https://www.international-football.net/elo-ratings-table?day=12&month=06&year=2026,https://www.eloratings.net/
